ï»¿"College","City","State","Institution Fiscal Year","Composite Score","Sector"
"Hult International Business School at Boston","Cambridge","Mass.","09/30/14","1.2","Private not-for-profit, 4-year or above"
"Humacao Community College","Humacao","P.R.","06/30/15","3","Private not-for-profit, 4-year or above"
"Humphreys College","Stockton","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Huntingdon College","Montgomery","Ala.","05/31/15","2.9","Private not-for-profit, 4-year or above"
"Huntington Junior College","Huntington","W.Va.","12/31/14","2.8","Private for-profit, 2-year"
"Huntington U.","Huntington","Ind.","05/31/15","1.7","Private not-for-profit, 4-year or above"
"Huntsville Bible College","Huntsville","Ala.","07/31/14","1.6","Private not-for-profit, 4-year or above"
"Hussian School of Art","Philadelphia","Pa.","06/30/15","1.9","Private for-profit, 4-year or above"
"Husson U.","Bangor","Maine","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Huston-Tillotson U.","Austin","Tex.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"IBMC College","Fort Collins","Colo.","12/31/14","1.6","Private for-profit, 2-year"
"Icahn School of Medicine at Mount Sinai","New York","N.Y.","12/31/14","2.5","Private not-for-profit, 4-year or above"
"ICDC College","Huntington Park","Calif.","12/31/14","1.4","Private for-profit, 2-year"
"ICPR Junior College","San Juan","P.R.","12/31/14","2.7","Private for-profit, 2-year"
"IGlobal U.","Annandale","Va.","12/31/14","0.2","Private for-profit, 4-year or above"
"Iliff School of Theology","Denver","Colo.","05/31/15","3","Private not-for-profit, 4-year or above"
"Illinois College","Jacksonville","Ill.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"Illinois College of Optometry","Chicago","Ill.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Illinois Institute of Technology","Chicago","Ill.","05/31/15","2.7","Private not-for-profit, 4-year or above"
"Illinois Wesleyan U.","Bloomington","Ill.","07/31/14","2.9","Private not-for-profit, 4-year or above"
"Immaculata U.","Immaculata","Pa.","06/30/15","2","Private not-for-profit, 4-year or above"
"Indiana Tech","Fort Wayne","Ind.","06/30/15","3","Private not-for-profit, 4-year or above"
"Indiana Wesleyan U.","Marion","Ind.","06/30/15","3","Private not-for-profit, 4-year or above"
"Infotech Career College","Paramount","Calif.","12/31/14","1.8","Private for-profit, 2-year"
"Institute for Clinical Social Work","Chicago","Ill.","06/30/15","3","Private not-for-profit, 4-year or above"
"Institute for Doctoral Studies in the Visual Arts","Portland","Maine","04/30/15","1.8","Private not-for-profit, 4-year or above"
"Institute for the Psychological Sciences","Arlington","Va.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Institute of Clinical Acupuncture and Oriental Medicine","Honolulu","Hawaii","12/31/14","3","Private for-profit, 4-year or above"
"Institute of Design and Construction","Brooklyn","N.Y.","06/30/15","3","Private not-for-profit, 2-year"
"Institute of Production and Recording","Minneapolis","Minn.","12/31/14","1.8","Private for-profit, 2-year"
"Institute of Taoist Education and Acupuncture","Louisville","Colo.","08/31/14","2.7","Private not-for-profit, 4-year or above"
"Institute of Technical Arts","Casselberry","Fla.","12/31/14","1.9","Private for-profit, 2-year"
"Institute of World Politics","Washington","D.C.","07/31/14","3","Private not-for-profit, 4-year or above"
"Instituto de Banca y Comercio","Hato Rey","P.R.","10/31/14","-1","Private for-profit, 2-year"
"IntelliTec College at Colorado Springs","Colorado Springs","Colo.","12/31/14","1.5","Private for-profit, 2-year"
"Intellitec Medical Institute","Colorado Springs","Colo.","12/31/14","-0.9","Private for-profit, 2-year"
"Interactive College of Technology at Chamblee (Ga.)","Chamblee","Ga.","12/31/14","3","Private for-profit, 2-year"
"InterCoast Colleges-Orange","Orange","Calif.","06/30/15","2.3","Private for-profit, 2-year"
"Interdenominational Theological Center","Atlanta","Ga.","06/30/15","3","Private not-for-profit, 4-year or above"
"Interface College at Spokane (Wash.)","Spokane","Wash.","12/31/14","-1","Private for-profit, 2-year"
"Interior Designers Institute","Newport Beach","Calif.","01/31/15","1.7","Private for-profit, 4-year or above"
"International Baptist College and Seminary","Chandler","Ariz.","06/30/15","3","Private not-for-profit, 4-year or above"
"International Business College Corporation System","El Paso","Tex.","06/30/15","1.6","Administrative Unit"
"International College of Broadcasting","Dayton","Ohio","09/30/14","3","Private for-profit, 2-year"
"International Professional School of Bodywork","San Diego","Calif.","06/30/15","-1","Private for-profit, 2-year"
"Iona College","New Rochelle","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Iowa Wesleyan College","Mount Pleasant","Iowa","05/31/15","0.6","Private not-for-profit, 4-year or above"
"Island Drafting and Technical Institute","Amityville","N.Y.","06/30/15","2.6","Private for-profit, 2-year"
"Ithaca College","Ithaca","N.Y.","05/31/15","3","Private not-for-profit, 4-year or above"
"ITI Technical College","Baton Rouge","La.","12/31/14","2.6","Private for-profit, 2-year"
"ITT Educational Services Inc. system office","Indianapolis","Ind.","12/31/14","2.2","Administrative Unit"
"Jacksonville College (Tex.)","Jacksonville","Tex.","06/30/15","1.5","Private not-for-profit, 2-year"
"Jacksonville U.","Jacksonville","Fla.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Jamestown Business College","Jamestown","N.Y.","06/30/15","3","Private for-profit, 4-year or above"
"Jarvis Christian College","Hawkins","Tex.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Jefferson College of Health Sciences","Roanoke","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Jefferson Regional Medical Center School of Nursing","Pine Bluff","Ark.","06/30/15","3","Private not-for-profit, 2-year"
"Jersey College","Teterboro","N.J.","06/30/15","2.7","Private for-profit, 2-year"
"JNA Institute of Culinary Arts","Philadelphia","Pa.","12/31/14","2.7","Private for-profit, 2-year"
"John A. Gupton College","Nashville","Tenn.","12/31/14","3","Private not-for-profit, 2-year"
"John Brown U.","Siloam Springs","Ark.","06/30/15","3","Private not-for-profit, 4-year or above"
"John Carroll U.","University Heights","Ohio","05/31/15","2.5","Private not-for-profit, 4-year or above"
"John F. Kennedy U.","Pleasant Hill","Calif.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"John Marshall Law School (Ill.)","Chicago","Ill.","08/31/14","2.7","Private not-for-profit, 4-year or above"
"John Paul the Great Catholic U.","Escondido","Calif.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Johns Hopkins U.","Baltimore","Md.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Johnson & Wales U. (R.I.)","Providence","R.I.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Johnson C. Smith U.","Charlotte","N.C.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Johnson College","Scranton","Pa.","06/30/15","3","Private not-for-profit, 2-year"
"Johnson U.","Knoxville","Tenn.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Jones College (Fla.)","Jacksonville","Fla.","06/30/15","3","Private not-for-profit, 4-year or above"
"Jones International U.","Centennial","Colo.","12/31/14","1.6","Private for-profit, 4-year or above"
"Jose Maria Vargas U.","Pembroke Pines","Fla.","12/31/14","1.4","Private for-profit, 4-year or above"
"Judson College (Ala.)","Marion","Ala.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Judson U. (Ill.)","Elgin","Ill.","05/31/15","1.8","Private not-for-profit, 4-year or above"
"Juilliard School","New York","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Jung Tao School of Classical Chinese Medicine","Sugar Grove","N.C.","12/31/14","3","Private not-for-profit, 4-year or above"
"Juniata College","Huntingdon","Pa.","05/31/15","2.8","Private not-for-profit, 4-year or above"
"Kalamazoo College","Kalamazoo","Mich.","06/30/15","3","Private not-for-profit, 4-year or above"
"Kansas Christian College","Overland Park","Kans.","06/30/15","1.2","Private not-for-profit, 4-year or above"
"Kansas City Art Institute","Kansas City","Mo.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Kansas City U. of Medicine and Biosciences","Kansas City","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Kansas Wesleyan U.","Salina","Kans.","06/30/15","3","Private not-for-profit, 4-year or above"
"Kaplan U. at Davenport (Iowa)","Davenport","Iowa","12/31/14","2.8","Private for-profit, 4-year or above"
"KD Studio-Actors Conservatory","Dallas","Tex.","12/31/14","1.2","Private for-profit, 2-year"
"Keck Graduate Institute","Claremont","Calif.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Kehilath Yakov Rabbinical Seminary","Ossining","N.Y.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Kendall College","Chicago","Ill.","12/31/14","-0.9","Private for-profit, 4-year or above"
"Kentucky Christian U.","Grayson","Ky.","05/31/15","3","Private not-for-profit, 4-year or above"
"Kentucky Mountain Bible College","Jackson","Ky.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Kentucky Wesleyan College","Owensboro","Ky.","05/31/15","1.3","Private not-for-profit, 4-year or above"
"Kenyon College","Gambier","Ohio","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Kettering College","Kettering","Ohio","12/31/14","3","Private not-for-profit, 4-year or above"
"Kettering U.","Flint","Mich.","06/30/15","3","Private not-for-profit, 4-year or above"
"Keuka College","Keuka Park","N.Y.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Key College","Dania Beach","Fla.","12/31/14","1.8","Private for-profit, 2-year"
"Keystone College","La Plume","Pa.","05/31/15","0.4","Private not-for-profit, 4-year or above"
"Keystone Technical Institute","Harrisburg","Pa.","12/31/14","2.2","Private for-profit, 2-year"
"Kilian Community College","Sioux Falls","S.D.","08/31/14","1.8","Private not-for-profit, 2-year"
"King U. (Tenn.)","Bristol","Tenn.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"King's College (N.C.)","Charlotte","N.C.","06/30/15","3","Private for-profit, 2-year"
"King's College (N.Y.)","New York","N.Y.","08/31/14","1.2","Private not-for-profit, 4-year or above"
"King's College (Pa.)","Wilkes-Barre","Pa.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"King's U.","Van Nuys","Calif.","07/31/14","1.9","Private not-for-profit, 4-year or above"
"Knowledge Systems Institute","Skokie","Ill.","12/31/14","3","Private not-for-profit, 4-year or above"
"Knox College","Galesburg","Ill.","06/30/15","3","Private not-for-profit, 4-year or above"
"Kuyper College","Grand Rapids","Mich.","06/30/15","0.6","Private not-for-profit, 4-year or above"
"La Roche College","Pittsburgh","Pa.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"La Salle U.","Philadelphia","Pa.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"La Sierra U.","Riverside","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Laboure College","Milton","Mass.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Lackawanna College","Scranton","Pa.","06/30/15","3","Private not-for-profit, 2-year"
"Lafayette College","Easton","Pa.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"LaGrange College","LaGrange","Ga.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Laguna College of Art & Design","Laguna Beach","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Lake Erie College","Painesville","Ohio","06/30/15","1.3","Private not-for-profit, 4-year or above"
"Lake Erie College of Osteopathic Medicine","Erie","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Lake Forest College","Lake Forest","Ill.","05/31/15","3","Private not-for-profit, 4-year or above"
"Lake Forest Graduate School of Management","Lake Forest","Ill.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Lakeland College","Plymouth","Wis.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Lakeview College of Nursing","Danville","Ill.","12/31/14","3","Private not-for-profit, 4-year or above"
"Lancaster Bible College","Lancaster","Pa.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Lancaster Theological Seminary","Lancaster","Pa.","06/30/15","1.6","Private not-for-profit, 4-year or above"
"Landing School","Arundel","Maine","06/30/15","3","Private not-for-profit, 2-year"
"Landmark College","Putney","Vt.","06/30/15","3","Private not-for-profit, 4-year or above"
"Lane College","Jackson","Tenn.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Lansdale School of Business","North Wales","Pa.","08/31/14","1.1","Private for-profit, 2-year"
"Lasell College","Newton","Mass.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Latter-Day Saints Business College","Salt Lake City","Utah","12/31/14","2.2","Private not-for-profit, 2-year"
"Laurel Business Institute","Uniontown","Pa.","12/31/14","3","Private for-profit, 2-year"
"Laurel U.","High Point","N.C.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Lawrence Memorial/Regis College","Medford","Mass.","09/30/14","3","Private not-for-profit, 2-year"
"Lawrence Technological U.","Southfield","Mich.","06/30/15","3","Private not-for-profit, 4-year or above"
"Lawrence U.","Appleton","Wis.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Le Moyne College","Syracuse","N.Y.","05/31/15","3","Private not-for-profit, 4-year or above"
"Lebanon Valley College","Annville","Pa.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Lees-McRae College","Banner Elk","N.C.","05/31/15","2.9","Private not-for-profit, 4-year or above"
"Lehigh U.","Bethlehem","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"LeMoyne-Owen College","Memphis","Tenn.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Lenoir-Rhyne U.","Hickory","N.C.","05/31/15","2.9","Private not-for-profit, 4-year or above"
"Lesley U.","Cambridge","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"LeTourneau U.","Longview","Tex.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Lewis & Clark College","Portland","Ore.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Lewis U.","Romeoville","Ill.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Lexington Theological Seminary","Lexington","Ky.","07/31/14","3","Private not-for-profit, 4-year or above"
"Liberty U.","Lynchburg","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Life Chiropractic College West","Hayward","Calif.","06/30/15","1.6","Private not-for-profit, 4-year or above"
"Life Pacific College","San Dimas","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Life U.","Marietta","Ga.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"LIM College","New York","N.Y.","06/30/15","2.1","Private for-profit, 4-year or above"
"Limestone College","Gaffney","S.C.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Lincoln Christian U.","Lincoln","Ill.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"Lincoln College","Lincoln","Ill.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Lincoln Memorial U.","Harrogate","Tenn.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Lincoln U. (Calif.)","Oakland","Calif.","07/31/14","3","Private not-for-profit, 4-year or above"
"Lindenwood U.","Saint Charles","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
